STATE_DISTRICT,Year,Murder,Rape,Kidnapping and Abduction,Dacoity,Robbery,Arson,Hurt,Prevention of atrocities (POA) Act,Protection of Civil Rights (PCR) Act,Other Crimes Against STs,Total_Crimes
ARUNACHAL PRADESH_KAMENG WEST,2006,0,0,0.0,0,0,0,0,0,0,1,1.0
ARUNACHAL PRADESH_KAMENG WEST,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_KAMENG WEST,2008,0,0,0.0,0,0,0,0,0,0,2,2.0
ARUNACHAL PRADESH_KAMENG WEST,2009,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_KAMENG WEST,2010,0,0,0.0,0,0,0,0,0,0,2,2.0
ARUNACHAL PRADESH_LOHIT,2001,1,0,0.0,0,0,0,0,0,0,6,7.0
ARUNACHAL PRADESH_LOHIT,2002,0,0,0.0,0,0,0,5,0,0,7,12.0
ARUNACHAL PRADESH_LOHIT,2003,0,0,0.0,0,0,0,1,0,0,2,3.0
ARUNACHAL PRADESH_LOHIT,2004,0,2,0.0,0,0,0,5,0,0,11,18.0
ARUNACHAL PRADESH_LOHIT,2005,0,0,0.0,0,0,0,0,0,0,1,1.0
ARUNACHAL PRADESH_LOHIT,2006,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_LOHIT,2007,0,0,0.0,0,0,0,0,0,0,0,0.0
ARUNACHAL PRADESH_LOHIT,2008,0,0,0.0,0,0,0,4,0,0,2,6.0
ARUNACHAL PRADESH_LOHIT,2009,0,0,0.0,0,0,0,2,0,0,1,3.0
ARUNACHAL PRADESH_LOHIT,2010,0,0,0.0,0,0,0,1,0,0,4,5.0
ARUNACHAL PRADESH_PAPUM PARE,2001,1,1,0.0,0,0,0,6,0,0,17,25.0
ARUNACHAL PRADESH_PAPUM PARE,2002,1,1,0.0,0,1,0,1,0,0,16,20.0
ARUNACHAL PRADESH_PAPUM PARE,2003,0,2,0.0,0,0,1,2,0,0,2,7.0
ARUNACHAL PRADESH_PAPUM PARE,2004,0,0,0.0,0,0,0,3,0,0,13,16.0
ARUNACHAL PRADESH_PAPUM PARE,2005,1,0,0.0,1,1,0,9,0,0,4,16.0
ARUNACHAL PRADESH_PAPUM PARE,2006,0,1,0.0,0,0,0,2,0,0,3,6.0
ARUNACHAL PRADESH_PAPUM PARE,2007,0,1,0.0,0,2,0,5,0,0,2,10.0
ARUNACHAL PRADESH_PAPUM PARE,2008,0,0,0.0,0,0,0,7,0,0,3,10.0
ARUNACHAL PRADESH_PAPUM PARE,2009,0,0,0.0,0,0,1,4,0,0,1,6.0
ARUNACHAL PRADESH_PAPUM PARE,2010,0,0,0.0,0,0,0,4,0,0,10,14.0
