STATE_DISTRICT,Year,Total_Crimes,Rape,Kidnapping and Abduction,Dowry Deaths,Assault on women with intent to outrage her modesty,Insult to modesty of Women,Cruelty by Husband or his Relatives,Importation of Girls
ANDHRA PRADESH_WEST GODAVARI,2003,1280.0,107,65,21,382,121,584,0
ANDHRA PRADESH_WEST GODAVARI,2004,1064.0,81,43,17,301,104,518,0
ANDHRA PRADESH_WEST GODAVARI,2005,881.0,69,35,17,232,118,410,0
ANDHRA PRADESH_WEST GODAVARI,2006,601.0,53,50,23,354,117,4,0
ANDHRA PRADESH_WEST GODAVARI,2007,1191.0,52,80,22,309,155,573,0
ANDHRA PRADESH_WEST GODAVARI,2008,1458.0,117,70,25,368,182,696,0
ANDHRA PRADESH_WEST GODAVARI,2009,1526.0,114,89,14,384,196,729,0
ANDHRA PRADESH_WEST GODAVARI,2010,1638.0,127,122,26,400,231,732,0
ARUNACHAL PRADESH_ANJAW,2001,0.0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2002,0.0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2003,0.0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2004,0.0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2005,0.0,0,0,0,0,0,0,0
ARUNACHAL PRADESH_ANJAW,2006,0.0,0,0,0,0,0,0,0
